The following modules were not unloaded:
  (Use "module --force purge" to unload all):

  1) nixpkgs/16.09     4) icc/.2018.3.222     7) openmpi/3.1.2
  2) imkl/2018.3.222   5) ifort/.2018.3.222   8) StdEnv/2018.3
  3) gcccore/.7.3.0    6) intel/2018.3

Due to MODULEPATH changes, the following have been reloaded:
  1) openmpi/3.1.2


Due to MODULEPATH changes, the following have been reloaded:
  1) openmpi/3.1.2

Attention: While Conda works well in a desktop environment, it tends to create more problems than it solves on a cluster. Instead, we recommend that users use virtual environments and the binary packages that we provide through Python wheels as documented on the Python page.
/home/rdali/RL/watch_and_learn/dependency/rl-starter-files/scripts/train_agent_multidem.py --env MiniGrid-LavaCrossingAgent-v0 --algo ppo --nameDemonstrator crossAddict1,crossAddict2,crossAddict3,crossAddict5,crossAddict6,crossAddict7 --flat-model 0 --KLweight 0.001 --useKL 1 --meanReward 0.80 --rewardLB 0.70 --seed 3081

Namespace(KLweight=0.001, algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env='MiniGrid-LavaCrossingAgent-v0', epochs=4, flat_model=0, frames=10000000, frames_per_proc=None, full_obs=0, gae_lambda=0.95, log_interval=1, lr=0.0007, max_grad_norm=0.5, meanReward=0.8, mem=False, model=None, nameDemonstrator='crossAddict1,crossAddict2,crossAddict3,crossAddict5,crossAddict6,crossAddict7', optim_alpha=0.99, optim_eps=1e-05, procs=16, recurrence=1, rewardLB=0.7, save_interval=0, seed=3081, tb=False, text=False, useKL=1, value_loss_coef=0.5)

Flat model successfully created

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 32, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(64, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (actor): Sequential(
    (0): Linear(in_features=256, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=3, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=256, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

CUDA available: False

1
True
0.001
Using TensorFlow backend.
OMP: Info #212: KMP_AFFINITY: decoding x2APIC ids.
OMP: Info #210: KMP_AFFINITY: Affinity capable, using global cpuid leaf 11 info
OMP: Info #154: KMP_AFFINITY: Initial OS proc set respected: 1,13,22,24,30
OMP: Info #156: KMP_AFFINITY: 5 available OS procs
OMP: Info #158: KMP_AFFINITY: Nonuniform topology
OMP: Info #179: KMP_AFFINITY: 2 packages x 3 cores/pkg x 1 threads/core (5 total cores)
OMP: Info #214: KMP_AFFINITY: OS proc to physical thread map:
OMP: Info #171: KMP_AFFINITY: OS proc 24 maps to package 0 core 17 
OMP: Info #171: KMP_AFFINITY: OS proc 22 maps to package 0 core 20 
OMP: Info #171: KMP_AFFINITY: OS proc 30 maps to package 0 core 28 
OMP: Info #171: KMP_AFFINITY: OS proc 1 maps to package 1 core 0 
OMP: Info #171: KMP_AFFINITY: OS proc 13 maps to package 1 core 8 
OMP: Info #250: KMP_AFFINITY: pid 234290 tid 234290 thread 0 bound to OS proc set 24
OMP: Info #250: KMP_AFFINITY: pid 234290 tid 234602 thread 3 bound to OS proc set 13
OMP: Info #250: KMP_AFFINITY: pid 234290 tid 234599 thread 1 bound to OS proc set 1
OMP: Info #250: KMP_AFFINITY: pid 234290 tid 234604 thread 4 bound to OS proc set 30
OMP: Info #250: KMP_AFFINITY: pid 234290 tid 234600 thread 2 bound to OS proc set 22
OMP: Info #250: KMP_AFFINITY: pid 234290 tid 234627 thread 5 bound to OS proc set 24
OMP: Info #250: KMP_AFFINITY: pid 234290 tid 234628 thread 6 bound to OS proc set 1
OMP: Info #250: KMP_AFFINITY: pid 234290 tid 234671 thread 8 bound to OS proc set 13
OMP: Info #250: KMP_AFFINITY: pid 234290 tid 234672 thread 9 bound to OS proc set 30
OMP: Info #250: KMP_AFFINITY: pid 234290 tid 234670 thread 7 bound to OS proc set 22
OMP: Info #250: KMP_AFFINITY: pid 234290 tid 234677 thread 10 bound to OS proc set 24
OMP: Info #250: KMP_AFFINITY: pid 234290 tid 234774 thread 11 bound to OS proc set 1
OMP: Info #250: KMP_AFFINITY: pid 234290 tid 234775 thread 12 bound to OS proc set 22
OMP: Info #250: KMP_AFFINITY: pid 234290 tid 234776 thread 13 bound to OS proc set 13
OMP: Info #250: KMP_AFFINITY: pid 234290 tid 234778 thread 15 bound to OS proc set 24
OMP: Info #250: KMP_AFFINITY: pid 234290 tid 234777 thread 14 bound to OS proc set 30
U 1 | F 002048 | FPS 0094 | D 21 | rR:mu sigma m M 0.00 0.00 0.00 0.00 | F:mu sigma m M 35.7 26.1 4.0 89.0 | H 1.068 | V -0.139 | pL -0.079 | vL 0.004 | delta 0.129
U 2 | F 004096 | FPS 0104 | D 41 | rR:mu sigma m M 0.00 0.00 0.00 0.00 | F:mu sigma m M 45.2 36.1 4.0 198.0 | H 1.075 | V -0.098 | pL -0.058 | vL 0.002 | delta 0.058
U 3 | F 006144 | FPS 0115 | D 59 | rR:mu sigma m M 0.00 0.00 0.00 0.00 | F:mu sigma m M 38.0 29.8 4.0 145.0 | H 1.062 | V -0.055 | pL -0.037 | vL 0.001 | delta 0.027
U 4 | F 008192 | FPS 0121 | D 76 | rR:mu sigma m M 0.05 0.19 0.00 0.83 | F:mu sigma m M 48.1 41.4 6.0 213.0 | H 1.067 | V -0.014 | pL -0.038 | vL 0.005 | delta 0.041
U 5 | F 010240 | FPS 0110 | D 94 | rR:mu sigma m M 0.00 0.00 0.00 0.00 | F:mu sigma m M 40.3 34.8 4.0 161.0 | H 1.090 | V -0.010 | pL -0.009 | vL 0.000 | delta 0.017
U 6 | F 012288 | FPS 0095 | D 116 | rR:mu sigma m M 0.02 0.14 0.00 0.79 | F:mu sigma m M 54.4 42.3 5.0 158.0 | H 1.096 | V 0.001 | pL -0.008 | vL 0.002 | delta 0.056
U 7 | F 014336 | FPS 0098 | D 137 | rR:mu sigma m M 0.01 0.08 0.00 0.52 | F:mu sigma m M 64.5 52.8 4.0 222.0 | H 1.096 | V -0.003 | pL -0.009 | vL 0.001 | delta 0.037
U 8 | F 016384 | FPS 0084 | D 161 | rR:mu sigma m M 0.00 0.00 0.00 0.00 | F:mu sigma m M 54.3 34.1 14.0 144.0 | H 1.097 | V -0.003 | pL -0.005 | vL 0.000 | delta 0.009
U 9 | F 018432 | FPS 0094 | D 183 | rR:mu sigma m M 0.02 0.12 0.00 0.71 | F:mu sigma m M 62.3 47.2 5.0 223.0 | H 1.096 | V 0.002 | pL -0.003 | vL 0.001 | delta 0.111
U 10 | F 020480 | FPS 0089 | D 206 | rR:mu sigma m M 0.02 0.10 0.00 0.72 | F:mu sigma m M 46.6 46.0 6.0 236.0 | H 1.089 | V -0.001 | pL -0.013 | vL 0.001 | delta 0.074
U 11 | F 022528 | FPS 0107 | D 225 | rR:mu sigma m M 0.02 0.13 0.00 0.84 | F:mu sigma m M 51.7 47.9 6.0 274.0 | H 1.095 | V 0.014 | pL -0.003 | vL 0.001 | delta 0.103
U 12 | F 024576 | FPS 0084 | D 250 | rR:mu sigma m M 0.03 0.15 0.00 0.93 | F:mu sigma m M 58.0 44.1 6.0 181.0 | H 1.094 | V 0.016 | pL -0.004 | vL 0.004 | delta 0.062
U 13 | F 026624 | FPS 0088 | D 273 | rR:mu sigma m M 0.06 0.22 0.00 0.89 | F:mu sigma m M 60.4 43.2 8.0 214.0 | H 1.088 | V 0.026 | pL -0.008 | vL 0.003 | delta 0.063
U 14 | F 028672 | FPS 0094 | D 295 | rR:mu sigma m M 0.00 0.00 0.00 0.00 | F:mu sigma m M 62.5 56.8 4.0 237.0 | H 1.097 | V 0.006 | pL 0.004 | vL 0.000 | delta 0.048
U 15 | F 030720 | FPS 0086 | D 319 | rR:mu sigma m M 0.00 0.00 0.00 0.00 | F:mu sigma m M 50.2 37.6 6.0 136.0 | H 1.097 | V 0.006 | pL 0.001 | vL 0.000 | delta 0.050
U 16 | F 032768 | FPS 0090 | D 341 | rR:mu sigma m M 0.03 0.13 0.00 0.61 | F:mu sigma m M 76.9 69.2 10.0 291.0 | H 1.086 | V 0.008 | pL -0.006 | vL 0.001 | delta 0.041
U 17 | F 034816 | FPS 0078 | D 368 | rR:mu sigma m M 0.03 0.13 0.00 0.69 | F:mu sigma m M 84.1 70.3 6.0 258.0 | H 1.093 | V 0.012 | pL -0.004 | vL 0.002 | delta 0.097
U 18 | F 036864 | FPS 0096 | D 389 | rR:mu sigma m M 0.00 0.00 0.00 0.00 | F:mu sigma m M 68.3 63.1 7.0 324.0 | H 1.098 | V -0.002 | pL -0.003 | vL 0.000 | delta 0.017
U 19 | F 038912 | FPS 0091 | D 412 | rR:mu sigma m M 0.02 0.12 0.00 0.70 | F:mu sigma m M 53.9 34.7 6.0 160.0 | H 1.095 | V 0.001 | pL -0.009 | vL 0.001 | delta 0.022
U 20 | F 040960 | FPS 0103 | D 432 | rR:mu sigma m M 0.02 0.13 0.00 0.69 | F:mu sigma m M 61.7 41.8 9.0 151.0 | H 1.093 | V 0.011 | pL -0.004 | vL 0.001 | delta 0.054
U 21 | F 043008 | FPS 0099 | D 452 | rR:mu sigma m M 0.00 0.00 0.00 0.00 | F:mu sigma m M 60.7 51.3 4.0 191.0 | H 1.098 | V -0.001 | pL -0.001 | vL 0.000 | delta 0.013
U 22 | F 045056 | FPS 0079 | D 478 | rR:mu sigma m M 0.00 0.00 0.00 0.00 | F:mu sigma m M 56.9 46.3 9.0 191.0 | H 1.097 | V 0.002 | pL 0.001 | vL 0.000 | delta 0.009
